"Title","Description","RDataPath","BiocVersion","Genome","SourceType","SourceUrl","SourceVersion","Species","TaxonomyId","Coordinate_1_based","DataProvider","Maintainer","RDataClass","DispatchClass"
"HiSeq 2500-sequenced scRNAseq mammary epithelial cells (expt. 2 barcode A7)","Molecule info file for HiSeq 2500-sequenced scRNAseq molecule info (experiment 2, using 10x barcode A7; 10x 3' v2 kit)","DropletTestFiles/bach/1.0.0/hiseq_2500_run2/molecule_info_A7.h5",3.12,"mm10","H5","https://jmlab-gitlab.cruk.cam.ac.uk/Jonny/BarcodeSwapping2017Data/raw/master/bcswap_data.tar.gz","hiseq_2500_run2/A7.h5","Mus musculus",10090,NA,"Jonathan Griffiths","Aaron Lun <infinite.monkeys.with.keyboards@gmail.com>","character","H5File"
"HiSeq 2500-sequenced scRNAseq mammary epithelial cells (expt. 2 barcode B7)","Molecule info file for HiSeq 2500-sequenced scRNAseq molecule info (experiment 2, using 10x barcode B7; 10x 3' v2 kit)","DropletTestFiles/bach/1.0.0/hiseq_2500_run2/molecule_info_B7.h5",3.12,"mm10","H5","https://jmlab-gitlab.cruk.cam.ac.uk/Jonny/BarcodeSwapping2017Data/raw/master/bcswap_data.tar.gz","hiseq_2500_run2/B7.h5","Mus musculus",10090,NA,"Jonathan Griffiths","Aaron Lun <infinite.monkeys.with.keyboards@gmail.com>","character","H5File"
"HiSeq 2500-sequenced scRNAseq mammary epithelial cells (expt. 2 barcode C7)","Molecule info file for HiSeq 2500-sequenced scRNAseq molecule info (experiment 2, using 10x barcode C7; 10x 3' v2 kit)","DropletTestFiles/bach/1.0.0/hiseq_2500_run2/molecule_info_C7.h5",3.12,"mm10","H5","https://jmlab-gitlab.cruk.cam.ac.uk/Jonny/BarcodeSwapping2017Data/raw/master/bcswap_data.tar.gz","hiseq_2500_run2/C7.h5","Mus musculus",10090,NA,"Jonathan Griffiths","Aaron Lun <infinite.monkeys.with.keyboards@gmail.com>","character","H5File"
"HiSeq 2500-sequenced scRNAseq mammary epithelial cells (expt. 2 barcode D7)","Molecule info file for HiSeq 2500-sequenced scRNAseq molecule info (experiment 2, using 10x barcode D7; 10x 3' v2 kit)","DropletTestFiles/bach/1.0.0/hiseq_2500_run2/molecule_info_D7.h5",3.12,"mm10","H5","https://jmlab-gitlab.cruk.cam.ac.uk/Jonny/BarcodeSwapping2017Data/raw/master/bcswap_data.tar.gz","hiseq_2500_run2/D7.h5","Mus musculus",10090,NA,"Jonathan Griffiths","Aaron Lun <infinite.monkeys.with.keyboards@gmail.com>","character","H5File"
"HiSeq 2500-sequenced scRNAseq mammary epithelial cells (expt. 2 barcode E7)","Molecule info file for HiSeq 2500-sequenced scRNAseq molecule info (experiment 2, using 10x barcode E7; 10x 3' v2 kit)","DropletTestFiles/bach/1.0.0/hiseq_2500_run2/molecule_info_E7.h5",3.12,"mm10","H5","https://jmlab-gitlab.cruk.cam.ac.uk/Jonny/BarcodeSwapping2017Data/raw/master/bcswap_data.tar.gz","hiseq_2500_run2/E7.h5","Mus musculus",10090,NA,"Jonathan Griffiths","Aaron Lun <infinite.monkeys.with.keyboards@gmail.com>","character","H5File"
"HiSeq 2500-sequenced scRNAseq mammary epithelial cells (expt. 2 barcode F7)","Molecule info file for HiSeq 2500-sequenced scRNAseq molecule info (experiment 2, using 10x barcode F7; 10x 3' v2 kit)","DropletTestFiles/bach/1.0.0/hiseq_2500_run2/molecule_info_F7.h5",3.12,"mm10","H5","https://jmlab-gitlab.cruk.cam.ac.uk/Jonny/BarcodeSwapping2017Data/raw/master/bcswap_data.tar.gz","hiseq_2500_run2/F7.h5","Mus musculus",10090,NA,"Jonathan Griffiths","Aaron Lun <infinite.monkeys.with.keyboards@gmail.com>","character","H5File"
"HiSeq 2500-sequenced scRNAseq mammary epithelial cells (expt. 2 barcode G7)","Molecule info file for HiSeq 2500-sequenced scRNAseq molecule info (experiment 2, using 10x barcode G7; 10x 3' v2 kit)","DropletTestFiles/bach/1.0.0/hiseq_2500_run2/molecule_info_G7.h5",3.12,"mm10","H5","https://jmlab-gitlab.cruk.cam.ac.uk/Jonny/BarcodeSwapping2017Data/raw/master/bcswap_data.tar.gz","hiseq_2500_run2/G7.h5","Mus musculus",10090,NA,"Jonathan Griffiths","Aaron Lun <infinite.monkeys.with.keyboards@gmail.com>","character","H5File"
"HiSeq 2500-sequenced scRNAseq mammary epithelial cells (expt. 2 barcode H7)","Molecule info file for HiSeq 2500-sequenced scRNAseq molecule info (experiment 2, using 10x barcode H7; 10x 3' v2 kit)","DropletTestFiles/bach/1.0.0/hiseq_2500_run2/molecule_info_H7.h5",3.12,"mm10","H5","https://jmlab-gitlab.cruk.cam.ac.uk/Jonny/BarcodeSwapping2017Data/raw/master/bcswap_data.tar.gz","hiseq_2500_run2/H7.h5","Mus musculus",10090,NA,"Jonathan Griffiths","Aaron Lun <infinite.monkeys.with.keyboards@gmail.com>","character","H5File"
"HiSeq 2500-sequenced scRNAseq mammary epithelial cells (expt. 1 barcode A1)","Molecule info file for HiSeq 2500-sequenced scRNAseq molecule info (experiment 1, using 10x barcode A1; 10x 3' v2 kit)","DropletTestFiles/bach/1.0.0/hiseq_2500/molecule_info_A1.h5",3.12,"mm10","H5","https://jmlab-gitlab.cruk.cam.ac.uk/Jonny/BarcodeSwapping2017Data/raw/master/bcswap_data.tar.gz","hiseq_2500/molecule_info_A1.h5","Mus musculus",10090,NA,"Jonathan Griffiths","Aaron Lun <infinite.monkeys.with.keyboards@gmail.com>","character","H5File"
"HiSeq 2500-sequenced scRNAseq mammary epithelial cells (expt. 1 barcode B1)","Molecule info file for HiSeq 2500-sequenced scRNAseq molecule info (experiment 1, using 10x barcode B1; 10x 3' v2 kit)","DropletTestFiles/bach/1.0.0/hiseq_2500/molecule_info_B1.h5",3.12,"mm10","H5","https://jmlab-gitlab.cruk.cam.ac.uk/Jonny/BarcodeSwapping2017Data/raw/master/bcswap_data.tar.gz","hiseq_2500/molecule_info_B1.h5","Mus musculus",10090,NA,"Jonathan Griffiths","Aaron Lun <infinite.monkeys.with.keyboards@gmail.com>","character","H5File"
